Restult = 16173.41, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 1
Restult = 15167.12, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 2
Restult = 15467.68, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 3
Restult = 12896.84, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 4
Restult = 15555.1, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 5
Restult = 12850.84, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 6
Restult = 14889.69, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 7
Restult = 12527.67, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 8
Restult = 15974.73, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 9
Restult = 13052.29, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 240, multiplier = 10
Restult = 17844.49, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 280, multiplier = 1
Restult = 18656.02, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 280, multiplier = 2
